,STNAME,CTYNAME,YEAR,TOT_POP
0,California,Alameda County,1,1510271
1,California,Alameda County,1,97652
2,California,Alameda County,1,94546
3,California,Alameda County,1,91070
4,California,Alameda County,1,100394
5,California,Alameda County,1,107049
6,California,Alameda County,1,113597
7,California,Alameda County,1,114607
8,California,Alameda County,1,115275
9,California,Alameda County,1,112216
10,California,Alameda County,1,114111
11,California,Alameda County,1,108506
12,California,Alameda County,1,94648
13,California,Alameda County,1,78854
14,California,Alameda County,1,52663
15,California,Alameda County,1,37774
16,California,Alameda County,1,29185
17,California,Alameda County,1,23391
18,California,Alameda County,1,24733
19,California,Alameda County,2,1510258
20,California,Alameda County,2,97650
21,California,Alameda County,2,94546
22,California,Alameda County,2,91070
23,California,Alameda County,2,100394
24,California,Alameda County,2,107047
25,California,Alameda County,2,113597
26,California,Alameda County,2,114607
27,California,Alameda County,2,115273
28,California,Alameda County,2,112216
29,California,Alameda County,2,114109
30,California,Alameda County,2,108502
31,California,Alameda County,2,94648
32,California,Alameda County,2,78852
33,California,Alameda County,2,52663
34,California,Alameda County,2,37775
35,California,Alameda County,2,29185
36,California,Alameda County,2,23391
37,California,Alameda County,2,24733
38,California,Alameda County,3,1513043
39,California,Alameda County,3,97655
40,California,Alameda County,3,94489
41,California,Alameda County,3,90982
42,California,Alameda County,3,99688
43,California,Alameda County,3,107533
44,California,Alameda County,3,113583
45,California,Alameda County,3,114823
46,California,Alameda County,3,114915
47,California,Alameda County,3,112615
48,California,Alameda County,3,113883
49,California,Alameda County,3,108877
50,California,Alameda County,3,95306
51,California,Alameda County,3,79700
52,California,Alameda County,3,53354
53,California,Alameda County,3,38074
54,California,Alameda County,3,29245
55,California,Alameda County,3,23343
56,California,Alameda County,3,24978
57,California,Alameda County,4,1530998
58,California,Alameda County,4,97781
59,California,Alameda County,4,95086
60,California,Alameda County,4,91096
61,California,Alameda County,4,97330
62,California,Alameda County,4,109976
63,California,Alameda County,4,114834
64,California,Alameda County,4,117143
65,California,Alameda County,4,113929
66,California,Alameda County,4,114489
67,California,Alameda County,4,112975
68,California,Alameda County,4,110396
69,California,Alameda County,4,97843
70,California,Alameda County,4,83640
71,California,Alameda County,4,56104
72,California,Alameda County,4,39327
73,California,Alameda County,4,29806
74,California,Alameda County,4,23207
75,California,Alameda County,4,26036
76,California,Alameda County,5,1554138
77,California,Alameda County,5,97503
78,California,Alameda County,5,96701
79,California,Alameda County,5,91314
80,California,Alameda County,5,96365
81,California,Alameda County,5,110721
82,California,Alameda County,5,117114
83,California,Alameda County,5,121049
84,California,Alameda County,5,114918
85,California,Alameda County,5,116501
86,California,Alameda County,5,111786
87,California,Alameda County,5,111603
88,California,Alameda County,5,100490
89,California,Alameda County,5,84845
90,California,Alameda County,5,61763
91,California,Alameda County,5,40995
92,California,Alameda County,5,30371
93,California,Alameda County,5,23262
94,California,Alameda County,5,26837
95,California,Alameda County,6,1580247
96,California,Alameda County,6,97356
97,California,Alameda County,6,98218
98,California,Alameda County,6,92259
99,California,Alameda County,6,95483
100,California,Alameda County,6,110230
101,California,Alameda County,6,121521
102,California,Alameda County,6,125876
103,California,Alameda County,6,116705
104,California,Alameda County,6,117566
105,California,Alameda County,6,110885
106,California,Alameda County,6,112808
107,California,Alameda County,6,103126
108,California,Alameda County,6,86669
109,California,Alameda County,6,65874
110,California,Alameda County,6,43412
111,California,Alameda County,6,31292
112,California,Alameda County,6,23425
113,California,Alameda County,6,27542
114,California,Alameda County,7,1608674
115,California,Alameda County,7,97822
116,California,Alameda County,7,98701
117,California,Alameda County,7,93605
118,California,Alameda County,7,94534
119,California,Alameda County,7,108802
120,California,Alameda County,7,128016
121,California,Alameda County,7,130381
122,California,Alameda County,7,119678
123,California,Alameda County,7,118209
124,California,Alameda County,7,110697
125,California,Alameda County,7,114043
126,California,Alameda County,7,105108
127,California,Alameda County,7,88840
128,California,Alameda County,7,69879
129,California,Alameda County,7,45799
130,California,Alameda County,7,32497
131,California,Alameda County,7,23825
132,California,Alameda County,7,28238
133,California,Alameda County,8,1634634
134,California,Alameda County,8,98179
135,California,Alameda County,8,99065
136,California,Alameda County,8,94235
137,California,Alameda County,8,94102
138,California,Alameda County,8,105887
139,California,Alameda County,8,134291
140,California,Alameda County,8,134294
141,California,Alameda County,8,124120
142,California,Alameda County,8,117688
143,California,Alameda County,8,112720
144,California,Alameda County,8,113200
145,California,Alameda County,8,106884
146,California,Alameda County,8,91166
147,California,Alameda County,8,73754
148,California,Alameda County,8,48318
149,California,Alameda County,8,33639
150,California,Alameda County,8,24218
151,California,Alameda County,8,28874
152,California,Alameda County,9,1650306
153,California,Alameda County,9,97649
154,California,Alameda County,9,98305
155,California,Alameda County,9,94398
156,California,Alameda County,9,93828
157,California,Alameda County,9,103175
158,California,Alameda County,9,138220
159,California,Alameda County,9,137426
160,California,Alameda County,9,127608
161,California,Alameda County,9,116785
162,California,Alameda County,9,114270
163,California,Alameda County,9,111483
164,California,Alameda County,9,107526
