,Year,State,HAI,Facility1,Facility1_ID,County,Infection_Count,Num_patients
4,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methodist Hospital of Sacramento,30000037.0,Sacramento,3.0,39316.0
5,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Sutter Amador Hospital,30000108.0,Amador,0.0,9275.0
6,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Sutter Auburn Faith Hospital,30000109.0,Placer,0.0,10500.0
7,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),University of California Davis Medical Center,30000113.0,Sacramento,25.0,190702.0
8,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"University of California Davis Medical Center, Rehabilitation Unit",30000113.0,Sacramento,0.0,5369.0
9,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Barton Memorial Hospital,30000114.0,El Dorado,0.0,7200.0
10,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Dameron Hospital,30000117.0,San Joaquin,3.0,18527.0
11,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Doctors Hospital of Manteca,30000118.0,San Joaquin,0.0,13868.0
12,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Mark Twain Medical Center,30000120.0,Calaveras,0.0,3407.0
13,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Marshall Medical Center,30000121.0,El Dorado,0.0,21979.0
14,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Doctors Medical Center,30000122.0,Stanislaus,10.0,116916.0
15,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Memorial Medical Center,30000123.0,Stanislaus,2.0,79526.0
16,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Mercy General Hospital,30000124.0,Sacramento,3.0,60668.0
17,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Mercy General Hospital, Rehabilitation Unit",30000124.0,Sacramento,0.0,6084.0
18,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Emanuel Medical Center,30000125.0,Stanislaus,1.0,37758.0
19,2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Mercy San Juan Medical Center,30000127.0,Sacramento,4.0,94885.0
